,prediction
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,1
392,0
