location,date,new_cases
Austria,2021-01-01,2096.0
Austria,2021-01-02,1391.0
Austria,2021-01-03,1466.0
Austria,2021-01-04,1642.0
Austria,2021-01-05,2311.0
Austria,2021-01-06,2469.0
Austria,2021-01-07,2540.0
Austria,2021-01-08,2063.0
Austria,2021-01-09,2278.0
Austria,2021-01-10,1651.0
Austria,2021-01-11,1536.0
Austria,2021-01-12,1575.0
Austria,2021-01-13,1917.0
Austria,2021-01-14,3510.0
Austria,2021-01-15,1528.0
Austria,2021-01-16,1723.0
Austria,2021-01-17,1267.0
Austria,2021-01-18,1161.0
Austria,2021-01-19,1486.0
Austria,2021-01-20,1671.0
Austria,2021-01-21,1702.0
Austria,2021-01-22,2088.0
Austria,2021-01-23,1626.0
Austria,2021-01-24,1202.0
Austria,2021-01-25,1009.0
Austria,2021-01-26,1417.0
Austria,2021-01-27,1641.0
Austria,2021-01-28,1449.0
Austria,2021-01-29,1500.0
Austria,2021-01-30,1478.0
Austria,2021-01-31,1190.0
Austria,2021-02-01,1124.0
Austria,2021-02-02,1241.0
Austria,2021-02-03,1520.0
Austria,2021-02-04,1518.0
Austria,2021-02-05,1388.0
Austria,2021-02-06,1333.0
Austria,2021-02-07,1317.0
Austria,2021-02-08,1057.0
Austria,2021-02-09,1197.0
Austria,2021-02-10,1469.0
Austria,2021-02-11,1577.0
Austria,2021-02-12,1731.0
Austria,2021-02-13,1433.0
Austria,2021-02-14,1184.0
Austria,2021-02-15,1225.0
Austria,2021-02-16,1427.0
Austria,2021-02-17,1735.0
Austria,2021-02-18,1967.0
Austria,2021-02-19,1818.0
Austria,2021-02-20,1877.0
Austria,2021-02-21,1838.0
Austria,2021-02-22,1270.0
Austria,2021-02-23,1727.0
Austria,2021-02-24,2005.0
Austria,2021-02-25,2391.0
Austria,2021-02-26,2093.0
Austria,2021-02-27,2457.0
Austria,2021-02-28,2123.0
Austria,2021-03-01,1409.0
Austria,2021-03-02,1920.0
Austria,2021-03-03,2553.0
Austria,2021-03-04,2324.0
Austria,2021-03-05,2668.0
Austria,2021-03-06,2557.0
Austria,2021-03-07,2199.0
Austria,2021-03-08,1910.0
Austria,2021-03-09,2411.0
Austria,2021-03-10,2528.0
Austria,2021-03-11,2997.0
Austria,2021-03-12,3126.0
Austria,2021-03-13,3023.0
Austria,2021-03-14,2503.0
Austria,2021-03-15,1896.0
Austria,2021-03-16,2425.0
Austria,2021-03-17,3335.0
Austria,2021-03-18,3357.0
Austria,2021-03-19,3515.0
Austria,2021-03-20,3344.0
Austria,2021-03-21,2713.0
Austria,2021-03-22,2412.0
Austria,2021-03-23,3415.0
Austria,2021-03-24,3289.0
Austria,2021-03-25,3124.0
Austria,2021-03-26,3895.0
Austria,2021-03-27,3498.0
Austria,2021-03-28,2679.0
Austria,2021-03-29,3076.0
Austria,2021-03-30,3001.0
Austria,2021-03-31,3687.0
Austria,2021-04-01,3363.0
Austria,2021-04-02,3137.0
Austria,2021-04-03,3283.0
Austria,2021-04-04,2743.0
Austria,2021-04-05,2217.0
Austria,2021-04-06,1935.0
Austria,2021-04-07,3101.0
Austria,2021-04-08,2906.0
Austria,2021-04-09,2702.0
Austria,2021-04-10,3139.0
Austria,2021-04-11,2252.0
Austria,2021-04-12,1943.0
Austria,2021-04-13,2313.0
Austria,2021-04-14,2942.0
Austria,2021-04-15,2678.0
Austria,2021-04-16,2416.0
Austria,2021-04-17,2048.0
Austria,2021-04-18,2076.0
Austria,2021-04-19,2117.0
Austria,2021-04-20,2026.0
Austria,2021-04-21,2523.0
Austria,2021-04-22,2405.0
Austria,2021-04-23,2329.0
Austria,2021-04-24,2131.0
Austria,2021-04-25,2025.0
Austria,2021-04-26,1566.0
Austria,2021-04-27,1625.0
Austria,2021-04-28,2340.0
Austria,2021-04-29,2229.0
Austria,2021-04-30,2131.0
Austria,2021-05-01,1615.0
Austria,2021-05-02,1625.0
Austria,2021-05-03,1091.0
Austria,2021-05-04,1394.0
Austria,2021-05-05,1644.0
Austria,2021-05-06,1245.0
Austria,2021-05-07,1333.0
Austria,2021-05-08,1233.0
Austria,2021-05-09,1026.0
Austria,2021-05-10,820.0
Austria,2021-05-11,870.0
Austria,2021-05-12,1194.0
Austria,2021-05-13,933.0
Austria,2021-05-14,887.0
Austria,2021-05-15,644.0
Austria,2021-05-16,673.0
Austria,2021-05-17,476.0
Austria,2021-05-18,582.0
Austria,2021-05-19,899.0
Austria,2021-05-20,562.0
Austria,2021-05-21,677.0
Austria,2021-05-22,583.0
Austria,2021-05-23,504.0
Austria,2021-05-24,360.0
Austria,2021-05-25,398.0
Austria,2021-05-26,445.0
Austria,2021-05-27,585.0
Austria,2021-05-28,541.0
Austria,2021-05-29,498.0
Austria,2021-05-30,379.0
Austria,2021-05-31,229.0
Austria,2021-06-01,337.0
Austria,2021-06-02,400.0
Austria,2021-06-03,282.0
Austria,2021-06-04,333.0
Austria,2021-06-05,271.0
Austria,2021-06-06,362.0
Austria,2021-06-07,279.0
Austria,2021-06-08,243.0
Austria,2021-06-09,366.0
Austria,2021-06-10,283.0
