userid,group,Q1-1,Q1-2,Q1-3,Q1-4,Q2-1,Q2-2,Q2-3,Q2-4,Q3-1,Q3-2,Q3-3,Q3-4,Q4-1,Q4-2,Q4-3,Q4-4,Q5-1,Q5-2,Q5-3,Q5-4
0,A,5,2,1,2,4,5,3,3,4,4,1,1,5,2,5,3,3,4,3,4
1,A,2,2,3,3,4,3,1,4,4,2,2,3,4,3,5,3,1,2,1,1
2,A,1,3,4,4,2,1,4,4,4,4,4,2,1,3,4,1,3,3,2,5
3,A,3,3,4,2,2,4,4,3,2,4,2,3,3,4,2,4,1,1,3,2
4,A,3,1,2,3,4,3,4,1,1,3,5,1,3,2,3,1,3,2,5,4
5,A,3,5,3,3,2,2,4,4,2,1,4,2,4,3,3,3,1,2,3,1
6,A,2,3,3,3,2,5,2,2,4,4,5,4,4,3,4,3,4,3,3,3
7,A,4,5,3,5,1,4,2,1,4,4,2,3,3,2,4,1,3,4,5,1
8,A,1,2,4,3,5,4,2,1,4,1,2,2,2,1,1,3,1,1,4,5
9,A,3,3,5,4,4,2,4,3,1,3,3,3,2,4,4,2,4,2,1,2
10,A,4,1,2,5,4,3,4,4,1,2,2,1,3,4,2,5,1,3,4,1
11,A,2,2,3,4,4,5,1,4,4,2,2,1,1,4,1,3,5,4,4,1
12,A,2,1,5,2,4,1,2,1,4,3,3,3,1,1,4,3,3,2,3,1
13,A,1,5,2,4,3,1,3,3,2,4,4,4,4,3,4,2,3,3,4,5
14,A,1,4,2,2,5,4,3,4,4,5,2,4,5,3,3,2,2,3,4,5
15,A,3,1,5,3,5,4,4,5,5,3,5,4,5,4,3,4,4,2,3,3
16,A,3,5,4,3,2,1,4,4,5,2,2,4,3,3,4,4,5,4,2,2
17,A,4,4,4,3,3,4,4,3,2,5,4,1,4,3,4,5,2,4,4,3
18,A,1,3,4,1,5,2,1,3,4,3,2,3,1,2,4,3,4,3,4,1
19,A,4,2,4,5,3,1,4,5,5,4,2,3,3,2,3,3,1,1,3,4
20,A,1,2,2,4,2,3,4,5,5,2,4,3,1,3,5,5,4,4,2,2
21,A,1,3,3,1,4,3,4,4,2,3,4,3,3,4,4,3,2,2,5,4
22,A,4,4,1,4,1,5,5,1,2,4,4,3,4,2,1,4,5,5,4,4
23,A,3,4,3,1,3,2,2,3,1,2,2,4,4,4,3,2,4,1,4,4
24,A,4,4,2,2,2,2,2,1,1,4,2,5,3,4,5,1,5,2,4,5
25,A,4,2,2,2,3,1,4,4,2,3,4,3,3,2,5,4,3,2,3,4
26,A,2,4,3,4,4,3,2,3,5,4,4,1,4,2,1,2,2,1,3,4
27,A,2,4,3,3,5,5,4,5,5,1,2,4,4,3,5,3,3,1,1,4
28,A,2,4,5,2,2,4,2,3,2,2,3,1,2,1,3,3,3,3,4,5
29,A,3,5,2,1,4,4,2,5,2,3,3,4,4,4,3,3,3,4,4,3
30,A,4,5,5,4,2,3,4,1,5,1,5,4,2,4,4,3,4,4,1,1
31,A,4,1,5,5,3,5,4,1,3,2,5,3,4,2,4,3,1,4,2,2
32,A,5,1,3,4,4,1,4,1,4,4,4,4,5,5,4,2,2,4,5,1
33,A,3,4,2,2,4,3,3,2,5,4,4,4,3,4,1,4,3,4,1,4
34,A,3,4,3,5,1,3,2,3,2,3,2,1,2,5,4,1,5,2,4,1
35,A,1,1,4,3,3,3,4,4,2,3,2,3,5,3,3,4,3,4,3,2
36,A,2,2,4,4,3,3,4,3,1,1,4,4,4,2,3,3,5,4,2,2
37,A,3,4,3,1,5,5,2,1,4,1,4,1,1,3,1,1,4,5,2,2
38,A,4,3,1,4,3,3,1,3,5,4,4,3,4,1,3,1,1,3,5,4
39,A,3,1,1,2,3,4,3,2,4,4,1,4,1,4,2,5,1,3,1,3
40,A,4,3,2,2,2,5,3,3,5,1,3,4,3,4,4,5,5,2,2,4
41,A,1,5,2,5,3,3,2,3,2,2,5,2,3,4,3,1,4,3,4,5
42,A,1,1,5,4,4,4,3,3,2,4,2,1,3,4,4,1,1,2,1,5
43,A,3,4,4,2,2,2,4,2,3,1,4,4,4,1,4,2,4,4,3,5
44,A,1,2,3,1,4,2,4,4,3,1,1,4,4,2,2,4,5,5,1,5
45,A,3,4,5,3,3,5,1,5,5,2,5,4,3,5,3,2,3,2,2,5
46,A,3,4,1,3,4,5,4,3,2,2,3,4,3,4,2,3,4,4,4,3
47,A,2,2,2,1,4,3,3,3,1,3,3,4,2,5,2,2,2,4,3,3
48,A,2,5,4,2,4,3,2,2,3,3,5,1,3,3,4,1,3,3,4,2
49,A,4,4,3,4,2,2,3,3,5,4,3,4,1,4,4,2,1,3,2,3
50,A,1,4,1,3,2,5,2,4,5,1,2,5,3,1,2,4,4,2,2,5
51,A,1,3,3,4,3,5,3,3,5,3,4,4,3,3,2,2,4,4,1,3
52,A,3,3,2,3,5,3,2,3,3,1,3,2,1,5,4,3,1,4,3,5
53,A,4,4,1,4,2,3,3,2,5,2,4,4,2,3,1,3,4,4,4,5
54,A,3,3,4,5,4,4,2,4,4,2,1,1,1,2,2,5,4,3,3,2
55,A,1,1,4,4,1,1,5,3,1,2,3,3,4,3,1,2,4,4,4,3
56,A,1,4,2,4,3,3,2,1,4,1,5,5,5,3,1,3,4,2,4,4
57,A,5,2,5,5,2,4,4,5,4,1,2,3,4,4,3,4,3,2,5,5
58,A,5,4,4,3,4,4,3,2,2,4,3,3,2,5,4,2,2,5,4,3
59,A,4,5,4,4,3,2,3,2,4,4,4,5,3,3,3,1,2,5,2,3
60,A,4,3,4,3,2,3,3,3,5,3,2,4,4,2,3,3,1,4,2,3
61,A,4,4,4,3,4,4,3,4,3,1,1,4,4,4,4,4,1,2,2,1
62,A,1,5,4,2,2,5,2,4,3,3,2,2,5,4,2,1,2,2,3,3
63,A,3,4,2,4,1,4,1,1,4,3,2,4,3,4,4,4,5,4,2,3
64,A,5,1,2,2,5,3,2,3,4,5,2,1,1,2,4,2,3,3,1,4
65,A,2,3,3,4,4,2,3,3,4,3,3,4,4,5,4,3,5,3,3,2
66,A,3,3,3,3,4,5,2,5,2,2,1,5,1,4,4,1,3,5,4,3
67,A,3,5,4,3,1,4,1,2,1,3,1,4,2,4,4,3,2,3,3,3
68,A,5,4,4,2,2,3,2,2,1,4,3,2,3,1,4,4,3,1,4,2
69,A,2,4,1,1,4,4,1,1,2,4,4,1,4,5,3,3,5,4,3,2
