iot_number,error_case_number
1,4.5
2,2.5
3,2.0
4,3.0
5,0.5
6,0.5
7,4.5
8,4.5
9,1.5
10,4.5
11,5.0
12,5.0
13,15.0
14,3.0
15,4.5
16,0.0
17,4.0
18,0.0
19,3.0
20,1.5
21,5.0
22,5.0
23,0.5
24,0.5
25,1.5
26,19.0
27,0.5
28,5.0
29,3.0
30,2.0
31,3.5000000000000004
32,2.0
33,2.5
34,3.0
35,13.0
36,1.0
37,1.5
38,4.5
39,5.0
40,2.0
41,5.0
42,2.0
43,4.5
44,3.5000000000000004
45,3.5000000000000004
46,3.0
47,1.5
48,0.0
49,5.5
50,1.0
51,3.0
52,4.0
53,4.5
54,1.0
55,4.5
56,1.5
57,2.0
58,3.5000000000000004
59,2.0
60,1.0
61,4.0
62,5.5
63,5.5
64,1.0
65,0.5
66,5.5
67,5.5
68,2.0
69,4.5
70,3.5000000000000004
71,1.5
72,0.5
73,4.0
74,5.0
75,1.5
76,5.0
77,4.5
78,1.0
79,11.0
80,0.5
81,1.0
82,4.0
83,1.5
84,1.0
85,2.5
86,4.5
87,0.0
88,19.0
89,4.5
90,0.0
91,5.5
92,1.0
93,2.0
94,2.0
95,1.5
96,2.0
97,3.0
98,5.5
99,2.0
100,1.0
